ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18446,44050,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,6339,NULL,41.252496,-82.128192
18447,44052,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,33613,NULL,41.454939,-82.161647
18448,44053,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,17473,NULL,41.424041,-82.228339
18449,44054,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,13564,NULL,41.464383,-82.093061
18450,44055,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,22690,NULL,41.433086,-82.133018
18451,44056,OH,OH_Summit,OH_Summit,79,OH_Summit,10495,NULL,41.313863,-81.499229
18452,44057,OH,OH_Lake,OH_Lake,2048,OH_Lake,19973,NULL,41.768101,-81.058904
18453,44060,OH,OH_Lake,OH_Lake,2048,OH_Lake,64270,NULL,41.676279,-81.330255
18454,44061,OH,OH_Lake,OH_Lake,2048,OH_Lake,-99,NULL,41.686759,-81.332792
18455,44062,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,14761,NULL,41.449351,-81.020962
18456,44064,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,1929,NULL,41.598209,-81.050079
18457,44065,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,4883,NULL,41.463223,-81.244414
18458,44067,OH,OH_Summit,OH_Summit,79,OH_Summit,19375,NULL,41.316597,-81.550637
18459,44068,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,-99,NULL,41.905841,-80.69056
18460,44070,OH,OH_Cuyahoga,OH_Cuyahoga,1191,OH_Cuyahoga,32693,NULL,41.415001,-81.91959
18461,44072,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,4478,NULL,41.474051,-81.326186
18462,44073,OH,OH_Geauga,OH_Geauga,1512,OH_Geauga,-99,NULL,41.46295,-81.316225
18463,44074,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,12068,NULL,41.289553,-82.236763
18464,44076,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,4769,NULL,41.528562,-80.810916
18465,44077,OH,OH_Lake,OH_Lake,2048,OH_Lake,54732,NULL,41.699583,-81.213377
